Sr. No.,Item Description,Bar Code,Tariff Code,Tax %,M.R.P.,Pur. Rate,Sale Rate,Landing Cost,Bal. Qty,U.O.M.,Packing,Company,Group,Closing Value,Rack
1,Parle-G Gold Biscuit 1Kg,8901719101234,1905,18,120.00,86.40,99.00,88.20,144,PCS,1x12,Parle,Biscuits,"12,700.80",A-01
2,"Britannia Good Day, Cashew 600g",8901063092341,1905,18,95.00,68.40,78.00,69.75,96,PCS,1x16,Britannia,Biscuits,"6,696.00",A-02
3,Tata Salt Lite 1Kg,8901725100019,2501,0,28.00,20.30,24.00,20.80,480,PCS,1x24,Tata,Staples,"9,984.00",B-01
4,"Haldiram's Aloo Bhujia, 400g",8904063201118,2106,12,110.00,79.20,92.00,80.55,72,PCS,1x12,Haldiram,Namkeen,"5,799.60",A-04
5,Maggi 2-Minute Noodles 12pk,8901058000481,1902,12,168.00,124.32,142.00,126.40,60,PCS,1x8,Nestle,Noodles,"7,584.00",A-05
6,Amul Butter 500g,8901262010016,0405,12,265.00,238.50,252.00,240.75,48,PCS,1x20,Amul,Dairy,"11,556.00",C-01
7,Colgate MaxFresh 150g,8901314010123,3306,18,99.00,71.28,82.00,72.60,120,PCS,1x36,Colgate,Oral Care,"8,712.00",D-01
8,Surf Excel Easy Wash 1Kg,8901030628412,3402,18,145.00,107.30,124.00,109.20,84,PCS,1x9,HUL,Detergent,"9,172.80",D-02
9,Fortune Sunflower Oil 1L,8906001200017,1512,5,185.00,168.35,176.00,169.90,144,LTR,1x12,Adani,Edible Oil,"24,465.60",E-01
10,Red Label Tea 500g,8901030510014,0902,5,270.00,245.70,258.00,247.50,60,PCS,1x10,HUL,Beverages,"14,850.00",B-03
11,Bourn Vita 750g Jar,8901012000123,1806,18,395.00,296.25,340.00,301.60,36,PCS,1x6,Cadbury,Beverages,"10,857.60",B-04
12,Dettol Original Soap 125g,8901396355014,3401,18,₹52.00,37.44,44.00,38.20,N/A,PCS,1x48,Reckitt,Personal Care,"0.00",D-03
13,Lifebuoy Handwash 750ml,8901030712345,3401,18,₹199.00,143.28,168.00,145.90,54,PCS,1x9,HUL,Personal Care,"7,878.60",D-04
14,"Kissan Mixed Fruit Jam, 700g",8901030601234,2007,12,225.00,162.00,190.00,164.25,42,PCS,1x12,HUL,Spreads,"6,898.50",C-02
15,Sunfeast Dark Fantasy 300g,8901725201234,1905,18,140.00,100.80,118.00,102.35,66,PCS,1x12,ITC,Biscuits,"6,755.10",A-06
16,Nescafe Classic 200g,8901058812345,2101,18,590.00,442.50,520.00,450.80,24,PCS,1x6,Nestle,Beverages,"10,819.20",B-05
17,Harpic Power Plus 1L,8901396401234,3402,18,196.00,141.12,166.00,143.75,48,PCS,1x12,Reckitt,Home Care,"6,900.00",D-05
18,Vim Dishwash Bar 300g,8901030823456,3401,18,30.00,21.60,25.50,22.05,240,PCS,1x60,HUL,Home Care,"5,292.00",D-06
19,Everest Garam Masala 100g,8901234501234,0910,5,85.00,72.25,79.00,73.10,90,PCS,1x24,Everest,Spices,"6,579.00",B-06
20,Aashirvaad Atta 10Kg,8901725301234,1101,5,485.00,441.35,462.00,444.20,75,BAG,1x1,ITC,Staples,"33,315.00",E-02
21,PARLE-G  GOLD BISCUIT 1KG ,8901719101234,1905,18,120.00,86.40,99.00,88.20,36,PCS,1x12,Parle,Biscuits,"3,175.20",A-01
22,,8901030999999,3401,18,45.00,32.40,38.00,33.10,60,PCS,1x24,HUL,Personal Care,"1,986.00",D-07
